,Stockholm,2018,Bensin,9811,Automat,194900,Peugeot 3008 1.2 PureTech 130hk 1 Brukare Välservad P-sensor,Peugeot,3008 1,Unknown,130
,Stockholm,2016,Miljöbränsle/Hybrid,19283,Automat,388900,Volvo XC90 T8 AWD 407hk 7-Sits Inscription Pano VOC B&W HUD,Volvo,XC90 T8,8,407
,Stockholm,2014,Bensin,10297,Automat,128800,Renault Clio Sport Tourer TCe 120hk GT Bass-Reflex Skinn,Renault,Clio Sport,Unknown,120
,Stockholm,2021,Bensin,5773,Automat,199800,Kia Stonic 1.0 GDI 120hk 1 Brukare B-Kamera Rattvärme,Kia,Stonic 1,Unknown,120
,Stockholm,2019,Diesel,8756,Automat,654800,Mercedes-Benz GLE 300 d 4M AMG Pano Burm Luft 360° Navi Drag,Mercedes-Benz,GLE 300,Unknown,Unknown
,Kronoberg,2014,Diesel,19200,Automat,144800,"Volkswagen Tiguan 2.0 TDI 4Motion 6,99% DSG 177hk Panorama",Volkswagen,Tiguan 2,2.0,177
,Kronoberg,2017,Bensin,11163,Automat,464900,"BMW M550 i xDrive 462hk 6,99% Ultimate 360° B&W Nightvision",BMW,M550 i,Unknown,462
,Kronoberg,2014,Miljöbränsle/Hybrid,11191,Automat,174800,"Mitsubishi Outlander PHEV 2.0 Hybrid 4WD 5,99% Drag Navi 203",Mitsubishi,Outlander PHEV,Unknown,Unknown
,Kronoberg,2023,Miljöbränsle/Hybrid,800,Automat,429800,"Hyundai Tucson Hybrid AWD N-Line 360°-kamera 6,99% Carplay 2",Hyundai,Tucson Hybrid,Unknown,Unknown
,Kronoberg,2015,Bensin,8760,Manuell,142800,Audi A3 Sportback 1.2 TFSI 110hk,Audi,A3 Sportback,Unknown,110
,Kronoberg,2011,Bensin,13000,Automat,128900,"MINI Countryman Cooper Skinn M/K-Värm 122hk 6,99%",MINI,Countryman Cooper,Unknown,122
,Västmanland,2013,Diesel,23100,Manuell,119000,Volvo V40 D4 R-Design 177 hk Välutrustad En Ägare Toppskick,Volvo,V40 D4,Unknown,177
,Göteborg,2018,Diesel,8245,Automat,249800,BMW 320 d xDrive Touring M Sport Navi Surround Skinn Drag,BMW,320 d,Unknown,Unknown
,Västernorrland,2016,Diesel,14787,Automat,188900,BMW 520 d 190hk xDrive B-Kamera Skinn Navi Drag Nyservad,BMW,520 d,Unknown,190
,Västernorrland,2019,Miljöbränsle/Hybrid,11609,Automat,254800,Mitsubishi Outlander P-HEV 2.4 4WD Business X 360º T-Lucka,Mitsubishi,Outlander P-HEV,Unknown,Unknown
,Västernorrland,2016,Bensin,10561,Automat,419800,Porsche Macan S 3.0 340hk AWD Sport Chrono Plus Skinn Navi,Porsche,Macan S,Unknown,340
,Östergötland,2019,Bensin,7492,Automat,389800,BMW X4 xDrive20i X Linepkt Navigation Sportstolar Låg Skatt,BMW,X4 xDrive20i,Unknown,Unknown
,Stockholm,2011,Bensin,17299,Automat,109000,Audi A5 Sportback 2.0 TFSI Automat Comfort,Audi,A5 Sportback,Unknown,Unknown
,Stockholm,2021,Miljöbränsle/Hybrid,5013,Automat,419800,BMW 330e xDrive 292hk M Sport Cockpit HiFi Skinn Navi Drag,BMW,330e xDrive,Unknown,292
,Stockholm,2021,Diesel,8831,Automat,304700,Volkswagen Passat 4M 200hk GT R-Line Elegance Cockpit Skinn,Volkswagen,Passat 4M,Unknown,200
,Stockholm,2018,Bensin,11670,Automat,239900,Volkswagen Touran 1.4 TSI 150hk 7-Sits R-Line Pluspaket Drag,Volkswagen,Touran 1,1.4,150
,Stockholm,2015,Bensin,4822,Manuell,144900,"MINI Cooper 136hk Pepper Excitement Keyless Go 0,38L/mil",MINI,Cooper 136hk,Unknown,136
,Stockholm,2022,Miljöbränsle/Hybrid,1587,Automat,329900,Toyota C-HR Hybrid CVT 184hk GR Sport JBL Kamera Rattvärme,Toyota,C-HR Hybrid,Unknown,184
,Uppsala,2014,Diesel,15500,Automat,184900,Volvo V70 D5 Momentum Värmare Drag KamremBytt 215hk,Volvo,V70 D5,Unknown,215
,Stockholm,2013,Bensin,18612,Automat,119000,Audi A4 Avant 1.8 170 hk Automat Proline,Audi,A4 Avant,Unknown,170
,Stockholm,2023,El,2710,Automat,279900,Peugeot E-208 ACTIVE PACK 136hk Electric,Peugeot,E-208 ACTIVE,Unknown,136
,Stockholm,2013,Diesel,16650,Automat,89900,Peugeot 508 SW 2.2 HDi FAP Panorama Automat,Peugeot,508 SW,Unknown,Unknown
,Skåne,2013,Miljöbränsle/Hybrid,9000,Automat,145900,Toyota Auris Touring Sports Hybrid e-CVT Euro 5,Toyota,Auris Touring,Unknown,Unknown
,Halland,2015,Diesel,14820,Automat,299900,Volkswagen Touareg 4.2 V8 TDI R-Line 4Motion Panorama,Volkswagen,Touareg 4,8,Unknown
,Östergötland,2016,Bensin,11100,Automat,314700,BMW M135i xDrive Aut Taklucka Nav H/K Värmare 400hk,BMW,M135i xDrive,Unknown,400
